Intent	Sentence
MAKE_PIZZA	Um, hi. I just want to get a, a <size>large</size> pizza please.
UPDATE_ATTRIBUTE	Uh, no, I want a <pizza_type>Hawaiian</pizza_type> pizza, please.
REQUEST	Oh, why not?
UNDEFINED	Oh, well, I'm a little offended that you're insulting my pizza topping choices.
UPDATE_ATTRIBUTE	Well, I asked for <pizza_type>Hawaiian</pizza_type>. <pizza_type>Hawaiian</pizza_type> comes with <topping>pineapple</topping> and <topping>ham</topping>.
CONFIRM	Mhm.
DENY	No, I'll just, just the pizza, please.
UNDEFINED	So expensive.
UNDEFINED	Okay, maybe next time I'll just buy my own <topping>pineapple</topping> at home, put it on.
ADD_MODALITY	I'll <modality>pick it up</modality>.
ADD_PAYMENT_ATTRIBUTE	I'll pay when I <modality>pick up</modality>.
CONFIRM	Okay.
ADD_PERSONAL	<name>Jennifer</name>.
THANK	Okay, thanks. I'll, I'll see you then.
MAKE_PIZZA	Hey um can I get a <size>large</size> pizza, no <topping>cheese</topping>, <topping>diced tomatoes</topping>, and <topping>spinach</topping>?
DENY	Oh um. no
REQUEST_LISTING	Yeah, yeah, um can I get a...d-do you have the <beverage>2-liter bottles</beverage>?
ADD_TO_ORDER	Okay okay um...let me do a <size>medium</size> <beverage>coke</beverage>
ADD_ATTRIBUTE	<topping>Spinach</topping>
UPDATE_ATTRIBUTE	You know what if you have <topping>kale</topping> we can do both
CONFIRM	Amazing, perfect
ADD_PAYMENT_ATTRIBUTE	Perfect, let me give you my card...um that.s gonna be -- the number is um <numeric>1024</numeric>
ADD_PAYMENT_ATTRIBUTE	Um and the code is <numeric>782</numeric>…the expiration is <numeric>12/89</numeric>
ADD_PERSONAL	<name>John Doe</name>
THANK	That is it, thank you
UNDEFINED	Oh, um
ADD_MODALITY	I.ll come in for <modality>pickup</modality>
THANK	Okay great, thank you
DEPART	You too.
START_ORDERING	hello i’d like to order a pizza please
ADD_MODALITY	forrr <modality>pickup</modality> please
MAKE_PIZZA	i’d like a <size>large</size> <pizza_type>pepperoni</pizza_type> pizza. Half with <topping>pineapple</topping> and half with <quant>no</quant> <topping>pineapple</topping>
CONFIRM	nooo i think that’s it.
THANK	okay great. Thank you!
START_ORDERING	Hi, I'd like to order pizza today.
MAKE_PIZZA	Can I have the <pizza_type>Hawaiian</pizza_type> pizza please?
REQUEST	Um, how many people does the <size>large</size> serve?
REQUEST_COST_OF	Okay, that's perfect. Thank you. And how much does that one cost?
ADD_ATTRIBUTE	Okay, can I get the <crust>regular</crust> please?
DENY	Um, no, thank you.
ADD_TO_ORDER	Um I think the <side>breadsticks</side>
