Intent	Sentence
MAKE_PIZZA	i'd like to get a <pizza_type>pepperoni</pizza_type>. make it <size>10 inch</size>
CONFIRM	"yeah, that would be great"
START_ORDERING	i'd like to order for <modality>take out</modality> from your <store>redmond town center</store> store
THANK	super thanks
MAKE_PIZZA	"i'd like to order a uh <pizza_type>meat lovers</pizza_type> on <crust>gluten free</crust> crust, please"
ORDER_PREFERRED	i'd like to reorder my most recent pizza
ORDER_PREFERRED	can i place an order for my usual order again
ORDER_PREFERRED	"i'd like to place another order for my most frequent pizza order again, please"
ADD_MODALITY	how about <modality>pick up</modality>
THANK	thank you
MAKE_PIZZA	"may i order a <pizza_type>pepperoni</pizza_type> on <crust>thin</crust>. make it <size>large</size>, please"
ADD_PERSONAL	use </name>vipul</name>
ORDER_PREFERRED	please place an order for my most recent pizza again
MAKE_PIZZA	i'll take a <pizza_type>pepperoni</pizza_type> on <crust>gluten free</crust>
MAKE_PIZZA	"i need a <size>12 inch</size> <pizza_type>4 cheese</pizza_type>, please"
GREET	"hi,"
THANK	thank you
ORDER_PREFERRED	may i get my previous pizza again
CHECK_ORDER_STATUS	how long until my pizza order gets delivered?
MAKE_PIZZA	"hi, can i get a <size>small</size> <pizza_type>4 cheese</pizza_type>, please ?"
ADD_MODALITY	"yeah, <modality>delivery</modality>, please"
CONFIRM	", please yep,"
ADD_PERSONAL	it's <name>daniel</name>
ADD_MODALITY	<modality>pick up</modality> will be great
MAKE_PIZZA	i'll get a uhh <pizza_type>hawaiian</pizza_type> on <crust>thin</crust>. make it <size>medium</size>
ADD_MODALITY	<modality>delivery</modality> will be great
ADD_MODALITY	<modality>pick up</modality> will be great
MAKE_PIZZA	"hey, how's it going? may i get a <size>large</size> <pizza_type>hawaiian</pizza_type>, please"
CONFIRM	"that works yep,"
CONFIRM	"yes,"
CHECK_ORDER_STATUS	how long until my pizza order is ready?
MAKE_PIZZA	i want to order a <pizza_type>pepperoni</pizza_type>
CHECK_ORDER_STATUS	is my order ready?
GREET	"hey, how's it going?"
ORDER_PREFERRED	can i place another order for my previous order again
ORDER_PREFERRED	"i'd like to place another order for my favorite order, please"
MAKE_PIZZA	"hello, may i get a <size>10 inch</size> <pizza_type>4 cheese</pizza_type>"
