Intent	Sentence
MAKE_PIZZA	can i order a <size>large</size> <pizza_type>meat lovers</pizza_type>, please
ADD_MODALITY	let's go with <modality>delivery</modality>
GREET	hello,
ADD_MODALITY	please make it <modality>take-out</modality>
MAKE_PIZZA	hi, i'll have a <pizza_type>4 cheese</pizza_type>, please
ORDER_PREFERRED	may i reorder my favorite pizza, please
MAKE_PIZZA	i want to order a <pizza_type>hawaiian</pizza_type> on <crust>gluten free</crust> crust. make it <size>small</size>
MAKE_PIZZA	i'd like to order a <pizza_type>hawaiian</pizza_type> on <crust>gluten free</crust>. make it <size>14 inch</size>, please
ADD_PERSONAL	<number>425-555-1712</number>
START_ORDERING	i'd like to place another order for my usual pizza order, please i'd like a different type of pizza, actually
ORDER_PREFERRED	may i reorder my preferred pizza
ADD_MODALITY	<modality>take out</modality> from your <store>maple leaf</store> location, please
GREET	hey, how's it going?
CHECK_ORDER_STATUS	where's the pizza i ordered?
CHECK_ORDER_STATUS	is my order ready?
ADD_MODALITY	<modality>pick up</modality>
ADD_PERSONAL	it's <name>eva</name>
ADD_PERSONAL	it's <name>michael</name>
ADD_PERSONAL	it is <number>206-555-7812</number>
THANK	thanks
THANK	awesome thanks
MAKE_PIZZA	i want to order <quant>three</quant> pizzas on <crust>thin</crust>, please. <quant>all</quant> of them <size>12 inch</size>
ADD_MODALITY	i'd like to place an order for <modality>pick up</modality> from your <store>redmond town center store</store>
MODIFY_ORDER_MODALITY	hey, how's it going? this is <name>logan</name> here can you, please switch my order to <modality>delivery</modality>
ADD_MODALITY	hi, may i place an order for <modality>take-out</modality> from your <store>bellevue square store</store>
MAKE_PIZZA	may i order <quant>three</quant> pizzas on <crust>thin</crust> crust. make them <size>medium</size>
MAKE_PIZZA	i'll have <quant>two</quant> pizzas on <crust>deep dish</crust>. i'll make the first one a <pizza_type>hawaiian</pizza_type> give me a <pizza_type>4 cheese</pizza_type> for the second one. a <size>10 inch</size>.
ADD_ATTRIBUTE	i want to add <topping>pineapple</topping> to the first <quant>half</quant> of the second pizza
ADD_ATTRIBUTE	may i get <topping>swiss</topping> cheese on the second <quant>half</quant> of the first pizza
ADD_ATTRIBUTE	also put <topping>provolone</topping> cheese on the right <quant>half</quant> of the second one
MAKE_PIZZA	i'd like <quant>five</quant> pizzas. i'll go with <size>medium</size> for <quant>all</quant> of them
MAKE_PIZZA	i'll order a <size>14 inch</size> <pizza_type>4 cheese</pizza_type> on <crust>deep dish</crust> for the second one, please
ADD_ATTRIBUTE	i need to add <topping>onions</topping> to the right <quant>half</quant> of the second one
